GeneID,0h,1.8h,1.8h,1.8h,1.8h,1.8h,1.8h,3.6h,3.6h,3.6h,9.1h,10.9h,10.9h,12.7h,12.7h,14.5h,14.5h,14.5h,21.8h,29.0h,29.0h,29.0h,30.9h,30.9h,30.9h,32.7h,32.7h,41.7h,43.6h,43.6h,43.6h,43.6h,43.6h,52.6h,72.6h,74.4h,79.9h,87.1h,87.1h,87.1h,94.4h,96.2h
BV898_00145,1,9,13,19,0,0,15,5,6,7,4,0,0,2,2,0,15,0,1,5,3,5,2,5,3,2,4,1,1,2,1,3,3,0,0,0,0,0,0,0,49,0
BV898_00146,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
BV898_00148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,60,33,61,13
BV898_00149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0
BV898_00150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BV898_00151,0,0,0,6,0,0,1,0,0,0,0,1,0,1,0,0,14,0,19,5,0,0,0,0,0,0,0,5,10,3,8,3,2,0,42,61,0,79,39,181,116,69
BV898_00152,12,17,45,6,0,0,8,6,4,4,33,4,0,0,0,7,0,2,0,2,12,0,3,3,2,1,0,1,0,7,4,8,3,0,44,26,86,0,11,15,50,24
BV898_00153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,55,0,22,0,0,10,0
BV898_00155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,41,46,76,19
BV898_00159,88,16,14,71,36,35,68,10,19,19,67,12,9,7,7,22,14,4,8,16,10,7,2,1,7,2,4,12,4,20,5,11,7,25,0,0,0,0,0,0,0,6
BV898_00160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,23,0,0,0,0,32,2,0
BV898_00168,0,0,14,14,6,0,0,2,1,2,2,5,0,0,2,10,0,0,0,1,6,4,0,0,0,1,1,3,0,4,2,4,3,0,0,0,0,0,0,0,0,0
BV898_00169,158,77,54,91,36,49,275,43,81,134,79,46,57,8,36,84,59,33,31,82,61,40,19,11,21,8,25,71,44,155,37,186,112,0,0,25,0,14,19,27,93,0
BV898_00170,22,57,35,77,0,11,38,10,15,25,6,10,18,2,4,8,69,6,9,7,24,11,6,4,6,6,5,4,1,9,7,8,5,0,0,0,0,0,0,0,0,0
BV898_00171,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,15,0,0,0,10,0
BV898_00172,0,0,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,12,22,0,0,0,19,0,13
BV898_00174,32,0,11,21,0,81,8,2,6,8,4,0,0,4,3,0,0,5,3,10,5,10,3,1,3,2,1,2,0,4,1,2,8,0,0,0,0,28,0,0,4,10
BV898_00176,37,35,18,75,15,0,51,8,10,10,62,34,33,4,9,16,18,2,7,16,18,5,0,1,5,8,5,11,7,17,9,17,11,0,0,0,0,0,0,0,23,15
BV898_00177,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,19,18,9,0
BV898_00178,41,15,28,102,39,24,78,5,13,19,57,1,9,0,0,2,23,2,0,9,8,3,2,0,5,0,0,5,0,4,2,3,5,0,0,0,0,0,0,0,7,0
BV898_00180,0,1,5,16,108,95,38,6,31,29,198,246,18,23,16,68,343,61,9,23,50,48,28,13,43,19,63,33,6,11,7,9,7,28,0,0,0,0,0,0,0,0
BV898_00181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BV898_00182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
BV898_00184,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,44,13,48,10
BV898_00185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0
BV898_00186,0,0,0,0,0,21,0,0,2,0,5,0,0,0,2,0,0,0,0,1,3,1,4,2,3,0,1,0,0,5,1,8,1,0,0,0,0,0,0,0,0,0
BV898_00187,0,1,0,4,0,0,0,0,2,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,3,0,0,21,0,0,0,0,3,0
BV898_00188,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0
BV898_00189,244,245,536,205,100,329,205,33,370,304,1307,460,1008,415,1776,1648,4081,1942,19,223,263,227,99,209,151,259,252,6,1,6,8,11,5,0,0,0,0,0,0,0,1,0
BV898_00191,0,0,0,0,1,0,0,0,0,0,24,0,0,0,2,0,0,0,36,4,1,0,0,0,3,0,0,23,18,19,20,22,14,0,0,0,16,0,0,0,0,0
BV898_00193,126,161,63,323,257,379,228,5,23,36,1647,2042,2488,1306,1739,10615,22784,4095,1833,228,24,75,8,32,17,87,194,536,150,282,214,89,46,0,0,0,0,0,0,0,87,42
BV898_00195,19,0,19,0,2,9,0,1,5,3,43,22,0,0,0,6,0,5,3,5,17,2,0,1,1,0,0,2,0,10,0,23,12,0,0,0,0,114,85,194,395,250
BV898_00196,77,23,150,61,21,44,85,22,25,21,100,31,20,6,10,31,78,4,9,28,11,6,3,7,4,1,4,13,4,10,10,19,10,0,0,0,0,0,0,0,0,0
