,0h,1·8h,3·6h,9·1h,10·9h,12·7h,14·5h,16·3h,18·1h,21·8h,29·0h,30·9h,32·7h,36·3h,38·1h,41·7h,43·6h,52·6h,54·4h,56·3h,70·8h,72·6h,74·4h,79·9h,83·5h,87·1h,94·4h,96·2h,98·0h
BV898_16176,17.2053963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.32872925,0.0,3.372213128,0.0,11.26671699,0.0,11.654015585,65.45644964,15.538592765999999,210.7504936,493.93638825000005,222.5755167,2169.528569,2053.570297,1000.194155,3526.328844,2177.469804,2974.789952333334,243.3926823,112.4329418,428.5544948
BV898_16178,46.45457001,59.54956379,48.97896649999999,48.27055273,31.59579846,28.0119869005,14.723768620000001,6.480076465,4.4903054305,7.635744447,25.63502167,40.82244809333333,20.37783669,35.3036704,26.958710170000003,58.18351079,41.45021546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.12087965,0.0,0.0,0.0,18.23636148
BV898_16179,254.6398652,259.58935230000003,277.5937688666666,22.27871665,59.075344175,67.471413755,27.159675339666666,38.88045879,0.0,53.45021113,112.6747055,35.95083351,33.38343428,94.14312108,78.25511772,72.72938849,77.503423906,0.0,0.0,106.95492205,72.31761898,190.1453978,0.0,107.8388026,0.0,175.75197139666668,275.139554,171.3263875,69.90605234
BV898_16181,15.48485667,23.325887526833338,27.888226091000003,0.0,43.338091465,25.069971445,23.877244639333338,35.64042056,4.4903054305,30.54297779,10.817885143333333,38.122776890000004,37.069553830000004,35.3036704,18.159700267,50.91057194,27.715335676000002,377.1324622,0.0,174.8807631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.83159687,0.0
BV898_16182,311.417673,390.22866161666667,438.2452178666667,132.4345934,121.96413686,275.1284422,274.19673646666666,208.4424596,179.2329253,236.7080779,213.5493895666667,200.18928713333332,213.09784495,376.5724843,379.94926050000004,661.8374353,793.32732686,0.0,146.6096518,684.511501,152.670529,443.672595,152.9708708,0.0,336.8461575,174.80878495333332,132.2786317,37.47764726,0.0
BV898_16183,612.5121083,1234.5263629666667,560.4163484666667,1292.165566,1998.0878455000002,1453.9890825,2012.6412366666666,1495.817651,2038.355639,1572.963356,638.9833448999999,665.3671720000001,952.5339993499999,2035.844993,1499.01632905,5083.784256,6171.896445,6921.489895,7658.191908500001,5952.665685,2265.952061,3676.144358,2123.941706,1099.955786,2971.464318,3135.5625946666664,6235.614699,4936.341539,4325.057065
BV898_16185,89.46806076,69.55452627333334,47.52743899666666,47.03284625,34.985149684999996,37.60495717,44.90972509666667,93.96110874,88.51023005,76.35744447,34.644459366666666,21.503816240000003,33.38343428,0.0,46.943749940000004,14.5458777,1.0242386066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BV898_16188,56.77780779,51.085502590666664,53.4387511,49.50825922,17.06890594,19.185940545,11.289882692,11.88014019,14.96768477,7.635744447,57.884034023333335,7.056798965666666,0.0,11.76789013,3.884671862,0.0,9.816822044199998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.06184883,0.0
BV898_16192,43.01349075,66.35888679783334,78.92498804333333,42.08202033,118.81651496,98.104794255,46.0447837,59.40070093,25.51520422,251.9795667,95.67783414666667,63.92852327333333,70.661346455,94.14312108,196.48031495,152.7317158,164.10413478599997,299.4875435,0.0,0.0,0.0,190.1453978,76.48543541,0.0,0.0,54.56850756666666,0.0,139.2026898,0.0
BV898_16195,187.5388197,56.33633827,26.491988643333332,35.89348793,21.911203444999998,75.209914345,38.629320323,10.80012744,7.268656825,22.90723334,29.74468928333333,7.390218306666667,3.686119548,23.53578027,35.757720075,72.72938849,86.395004904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.09065974,0.0,0.0,0.0,0.0
